id,name,feature_area
1,independent personal pronouns make no clusivity distinction,
2,complements may have a preposed complementizer,
3,complements may have a preposed complementizer,
4,sex is a relevant property in the nomifier system,
6,TAM marking in negated clauses identical to marking in affirmative clauses,
7,no gender concord of an adnominal adjective with the noun,
8,gender concord of few adnominal adjectives with the noun,
9,gender concord of many adnominal adjectives with the noun,
10,gender concord of all adnominal adjectives with the noun,
11,predicative adjectives behave like verbs,
12,predicative adjectives do not behave like verbs,
13,predicative adjectives behave like verbs in some but not all respects,
14,a clause with a predicative nominal has an invariant copula,
15,a clause with a predicative nominal has a variable copula,
16,a clause with a predicate nominal has no copula,
17,independent personal pronouns make a clusivity distinction,
19,locational predications have a non-standard negation marker,
20,no numeral classifiers,
21,no gender system,nomifiers
22,optional numeral classifiers,nomifier
23,obligatory numeral classifiers,nomifier
24,affixal adpossessive indexes are suffixes,nominal markers
25,affixal adpossessive indexes are prefixes,nominal markers
26,affixal adpossessive indexes are prefixes or suffixes with neither dominant,nominal markers
27,no affixal adpossessive indexes,nominal markers
28,possidend nouns exist,nominal markers
29,possidend nouns do not exist,
30,no possessive classifiers,
31,2-4 possessive classifiers,
32,> 4 possessive classifiers,
33,a definite/specific article exists,
34,a definite/specific article does not exist,
35,an affixal definite/specific article exists,
36,an indefinite article exists,
37,an article exists that precedes the noun in a normal order,
38,there is an article that follows the noun in a normal order,
39,property words used as adnominal modifiers can occur discontinuously,property words
40,P-argument nominals are never flagged,
41,P-argument nominals are always flagged,
42,P-argument nominals are flagged only if they are definite,
43,P-argument nominals are flagged only if they are animate,
44,P-argument nominals are flagged only if they are definite and animate,
45,standard negation is expressed by a particle that precedes the verb,
46,standard negation is expressed by a particle that follows the verb,
47,standard negation is expressed by a suffix on the verb,
48,standard negation is expressed by a prefix on the verb,
49,noun plus noun combinations can be formed productively to express general concepts,
50,adnominal adjectives obligatorily carry a flag,
51,articles carry a flag,
52,nouns obligatorily carry a flag,
56,gender distinction in independent personal pronouns lacking,
57,independent personal pronouns coexpress 1st and 2nd person,
58,independent personal pronouns coexpress 2nd and 3rd person,
59,independent personal pronouns show no coexpression of different persons,
60,verb indexes exist neither for A nor for P,
61,verb indexes exist both for A and for P,
62,verb indexes exist only for A,
63,verb indexes exist only for P,
64,2nd-person independent pronouns have no politeness distinction,
65,2nd-person independent pronouns have a binary politeness distinction,
66,2nd-person independent pronouns have a multiple politeness distinction,
67,2nd-person forms are titles,
68,"of interrogative pronouns who/when/where/how, all four are simple",
69,"of who/when/where/how, one interrogative is a compound expression",
70,"of who/when/where/how, two interrogatives are compound expressions",
71,"of who/when/where/how, three interrogatives are compound expressions",
72,"of the interrogatives who/when/where/how, all four are compound expressions",
73,Pronoun conjunction: Singular pronoun overtly conjoined with other conjunct,
74,Pronoun conjunction: Inclusory pronoun juxtaposed with subset NP,
75,pronoun conjunction: inclusory pronoun plus marker plus subset NP,
76,Pronoun conjunction: Inclusory pronoun plus numeral plus subset NP,
77,pronoun conjunction: singular pronoun juxtaposed with other conjunct,
78,an instrumental applicative marker exists,
79,an instrumental applicative marker does not exist,
80,the R-argument is at least partially aligned in coding with the P-argument,
81,the R-argument is not even partially aligned in coding with the P-argument,
82,there is a standard negator that is always contiguous with the verb,
83,there is no standard negator that is always contiguous with the verb,
84,there is a deictic directional marker on verbs,
85,there is no deictic directional marker on verbs,
86,there are verbs with strong root suppletion for core argument number,
87,there are no verbs with strong root suppletion for argument number,
88,a clause with a predicate nominal may have a copula,
90,there are verbs with strong root suppletion for tense or aspect,
91,there are no verbs with strong root suppletion for tense or aspect,
92,there is a transitivizer on verbs,
93,there is no transitivizer on verbs,
94,there is a reflexive marker on verbs,
95,there is no reflexive marker on verbs,
96,there is a reciprocal marker on verbs,
97,there is no reciprocal marker on verbs,
