feature_ID,feature name,feature description,meta_feature_id,collection_id,collection URL,collection numbers
13,Is sex a relevant category in the noun class/gender system?,,4,2,http://sails.clld.org/parameters/ARW2-5-02,
14,"Negation and tense, aspect, and mood marking",,225,1,https://apics-online.info/parameters/50,050
15,Gender agreement of adnominal adjectives,"(By Philippe Maurer and the APiCS Consortium): ""Gender may be subdivided into two types: sex-based distinctions vs. grammatical gender. Sex-based distinctions are probably found in all languages of the world; in Papiamentu (Caribbean, Ibero-Romance-based), for example, there is a contrast between mama ‘mother’ and tata ‘father’. This contrast, however, is a matter of lexical semantics. By contrast, grammatical gender requires syntactic evidence, called agreement. Agreement may be exhibited, for example, by verbs, adjectives, determiners, or numerals. An example of a language displaying agreement is French, as in un grand clocher ‘a (m.) big (m.) church steeple’ vs. une grande table ‘a (f.) big (f.) table’. In these examples, both the indefinite article and the adjective agree with their noun in gender.""",225,1,https://apics-online.info/parameters/40,040
20,Predicative adjectives,,12,3,https://wals.info/feature/118A,118A
22,Predicative noun phrases,,225,1,http://apics-online.info/parameters/73,073
25,Zero copula for predicate nominals,,16,3,https://wals.info/feature/120A,120A
26,Is there an inclusive/exclusive distinction in personal pronouns? – no,"SAILS gives no information on what kinds of ""personal pronouns"" are intended, so it is assumed here that the deature is about independent personal pronouns.",1,2,http://sails.clld.org/parameters/NP7,NP7-1
27,Is there an inclusive/exclusive distinction in personal pronouns? (V) yes,,17,2,,
28,Inclusive/exclusive distinction in independent pronouns,"For speakers of English (or any other European language), both the inclusive and the exclusive pronouns are to be translated as we. The difference between the two depends on the intended meaning. An inclusive pronoun necessarily includes reference to the addressee. For example, the Mandarin inclusive pronoun zámen means ‘we, I and you’; others can optionally be included. An exclusive pronoun, like the Mandarin pronoun wŏmen, excludes the addressee from the reference, resulting in a meaning like ‘I and some others, but not you’.",1,3,http://wals.info/feature/39A,039A
30,Inclusive/exclusive distinction in independent personal pronouns,"(By Martin Haspelmath, Susanne Maria Michaelis and the APiCS Consortium): ""In this feature (based on WALS feature 39, by Michael Cysouw), we ask whether a language has an inclusive/exclusive distinction in independent personal pronouns. An inclusive pronouns means 'we including the hearer', and an exclusive pronoun means 'we excluding the hearer'.""",1,1,http://apics-online.info/parameters/15,015
